students_file1.csv,Student ID,First Name,Last Name,Grade,Class List
students_file1.csv,STU10001,Michael,White,11,Geometry; World History; Biology; Algebra II
students_file1.csv,STU10002,Avery,Rodriguez,9,Calculus; English 101; Algebra II
students_file1.csv,STU10003,Mateo,Miller,10,Calculus; Biology; Geometry; World History
students_file1.csv,STU10004,Levi,Lee,12,Chemistry; Algebra II; Biology; World History
students_file1.csv,STU10005,Emma,Carter,10,Chemistry; Algebra II; Geometry
students_file1.csv,STU10006,Sophia,Rodriguez,11,AP Lit; Geometry; Biology; Calculus
students_file1.csv,STU10007,Benjamin,Robinson,11,Calculus; World History; English 101; Algebra II
students_file1.csv,STU10008,Theodore,Young,10,English 101; Biology; Chemistry
students_file1.csv,STU10009,Aria,White,9,Geometry; World History; AP Lit; Calculus
students_file1.csv,STU10010,Elizabeth,Jones,11,Geometry; Algebra II; World History
students_file1.csv,STU10011,Ethan,Thomas,10,Algebra II; Calculus; Geometry; World History
students_file1.csv,STU10012,Jackson,Flores,10,Geometry; English 101; Chemistry
students_file1.csv,STU10013,Theodore,Davis,11,English 101; Calculus; AP Lit
students_file1.csv,STU10014,Charlotte,Thomas,11,English 101; Biology; World History
students_file1.csv,STU10015,Sofia,Baker,9,AP Lit; Chemistry; World History
students_file1.csv,STU10016,Sebastian,White,10,Geometry; World History; AP Lit
students_file1.csv,STU10017,Benjamin,Perez,11,Biology; Algebra II; Chemistry; World History
students_file1.csv,STU10018,Henry,Thomas,11,Biology; World History; Geometry
students_file1.csv,STU10019,Logan,Wilson,9,English 101; Algebra II; Chemistry
students_file1.csv,STU10020,Levi,Garcia,11,Biology; English 101; Calculus
students_file1.csv,STU10021,Daniel,Lopez,9,Chemistry; AP Lit; English 101; World History
students_file1.csv,STU10022,Owen,Torres,9,World History; English 101; AP Lit; Chemistry
students_file1.csv,STU10023,Michael,White,9,Geometry; AP Lit; Biology
students_file1.csv,STU10024,Sebastian,Hernandez,10,World History; Geometry; AP Lit
students_file1.csv,STU10025,Amelia,Flores,9,English 101; Chemistry; Geometry; World History
students_file1.csv,STU10026,Theodore,Perez,9,World History; Calculus; Biology; AP Lit
students_file1.csv,STU10027,Daniel,Davis,11,Biology; AP Lit; World History; Algebra II
students_file1.csv,STU10028,Sofia,Flores,12,Geometry; AP Lit; English 101; Biology
students_file1.csv,STU10029,Aiden,Harris,9,Algebra II; World History; English 101; Chemistry
students_file1.csv,STU10030,Evelyn,Wright,12,AP Lit; Geometry; Biology
students_file1.csv,STU10031,Olivia,Carter,10,AP Lit; Geometry; Chemistry; Biology
students_file1.csv,STU10032,Alexander,Wright,10,Chemistry; Algebra II; World History; Calculus
students_file1.csv,STU10033,Madison,Lee,9,Calculus; AP Lit; World History
students_file1.csv,STU10034,Owen,Baker,12,World History; AP Lit; Geometry
students_file1.csv,STU10035,Gianna,Walker,11,Geometry; World History; Chemistry; Algebra II
students_file1.csv,STU10036,Gianna,Miller,10,Biology; AP Lit; Algebra II
students_file1.csv,STU10037,Emma,Jones,12,English 101; World History; AP Lit
students_file1.csv,STU10038,Evelyn,Carter,11,Algebra II; Biology; Geometry
students_file1.csv,STU10039,Emma,Gonzalez,9,AP Lit; Biology; Geometry; World History
students_file1.csv,STU10040,Henry,Hernandez,12,Calculus; Algebra II; Chemistry
students_file1.csv,STU10041,Ava,Ramirez,12,World History; Biology; Geometry; Chemistry
students_file1.csv,STU10042,Theodore,Flores,11,AP Lit; World History; Biology
students_file1.csv,STU10043,Mason,Flores,9,World History; AP Lit; Chemistry
students_file1.csv,STU10044,Michael,Mitchell,11,AP Lit; English 101; Biology; Chemistry
students_file1.csv,STU10045,Jackson,Lopez,10,English 101; Chemistry; Geometry; Calculus
students_file1.csv,STU10046,James,Harris,11,Calculus; AP Lit; English 101; Biology
students_file1.csv,STU10047,Oliver,White,11,Chemistry; Biology; Calculus
students_file1.csv,STU10048,Elizabeth,Garcia,11,Algebra II; AP Lit; Biology
students_file1.csv,STU10049,Jack,Flores,12,Chemistry; AP Lit; Geometry; Algebra II
students_file1.csv,STU10050,Chloe,Torres,12,English 101; Calculus; Biology
students_file1.csv,STU10051,Gianna,Nguyen,10,World History; Chemistry; Geometry; Algebra II
